singkatan;original
laper;lapar 
latgab;latihan gabungan
lb;lembar 
lbh;lebih 
lbih;lebih 
lbur;libur
lebay;berlebihan
leh;boleh
lekong;laki-laki
lelaahh;lelah 
lelet;lambat
lemes;lemas 
lemot;lambat
less;kurang
lg;lagi
lgi;lagi
lgkp;lengkap
lgs;langsung 
lgsg;langsung
lgsng;langsung 
lgsung;langsung 
lht;lihat
liat;lihat
liatin;lihat 
light;terang
linmas;perlindungan masyarakat
litbang;penelitian dan pengembangan
lm;lama 
lmyan;lumayan
lmyn;lumayan
lngkp;lengkap
lngsg;langsung 
lngsng;langsung 
lngsung;langsung 
lnjt;lanjut 
lnsg;langsung 
lnsng;langsung 
lo;kamu
loch;loh
loe;kamu
lol;tertawa
lola;lambat berfikir
lom;belum
louph;cinta
loupz;cinta
lov;cinta
love;cinta
low;kalau
lowh;kamu
lp;lupa
lpngn;lapangan 
lpr;lapar 
lsg;langsung 
lu;kamu
luber;"langsung; umum; bebas; dan rahasia"
luchu;lucu
luchuw;lucu
luff;cinta
lum;belum
lun;belum
luph;cinta
luthu;lucu
luv;cinta
lvl;level 
lw;kamu
lwn;lawan
lwt;lewat
maaci;terima kasih
maacih;terima kasih
maaciw;terima kasih
maap;maaf
mabal;bolos
mabes;markas besar
macem;macam
macem-macem;macam-macam
macih;masih
madesu;masa depan suram
maem;makan
maen;main
magabut;makan gaji buta
mager;malas bergerak
mahatma;maju sehat bersama
maho;homo
mak;ibu
mak jang;kaget
makaci;terima kasih
makana;karena itu
makasi;terima kasih
makasih;terima kasih
makasihhh;terima kasih
make;pakai 
makn;makan 
maksain;memaksa
malah;bahkan
malem;malam
malem2;malam-malam 
malming;malam minggu
malu2in;memalukan
mam;makan
mamah;mama 
mamam;makan 
mampet;mampat 
mamz;makan
mane;mana 
maneh;kamu
manggil;panggil 
manies;manis
maniez;manis
mano;mana 
mantep;mantap
mao;mau
markus;makelar kasus
masakin;masakan 
masukin;masukkan
masy;masyarakat
mateng;matang 
maw;mau
mba;mbak
mbual;bual
mcm;macam 
mct;macet 
mdg;lebih baik
mdgn;baikan 
mdh;mudah 
mdpt;mendapat 
melu;ikut
melulu;selalu 
mending;lebih baik
mendingan;lebih baik
menyempurnakan; 
mepet;dekat sekali
merhatiin;memperhatikan 
mesen;pesan 
mgkin;mungkin
mgkn;mungkin
mgu;minggu
mhn;mohon
mhs;mahasiswa 
mhsw;mahasiswa 
miapa;demi apa
miapah;demi apa
migas;minyak dan gas bumi
miker;minuman keras
mikirin;memikirkan 
mikol;minuman beralkohol
milih;pilih 
milis;mailing list
minjem;pinjam 
miras;minuman keras
misal'a;misalnya
mk;maka 
mka;maka 
mkan;makan 
mkanan;makanan 
mkanya;makanya 
mkn;makan 
mknan;makanan 
mkny;maka itu
mksd;maksud
mksdny;maksudnya 
mksdnya;maksudnya 
mksdq;maksudku 
mksh;terima kasih
mksih;terima kasih
mlah;malah
mlm;malam 
mls;malas
mmg;memang 
mn;mana 
mna;mana 
mndg;lebih baik
mndgn;lebih baik
mndgr;mendengar 
mndi;mandi 
mnding;lebih baik
mndptkn;mendapatkan 
mng;menang 
mngkn;mungkin
mnolak;tolak
mnrt;menurut 
mnsempurnakan; 
mnt;minta
mnta;minta 
mntp;mantap 
mnum;minum 
mnyakitiku;menyakitiku 
mnyngkn;menyenangkan 
mo;mau
moga;semoga 
moge;motor gede
mokad;mati
mokat;mati
moso;masa
mosok;masa
most;paling
mpe;sampai
mreka;mereka 
mrh;marah 
mrk;mereka 
ms;mas 
msg;masing 
msh;masih
msih;masih 
msk;masuk
mski;meski 
mskipun;meskipun 
mskn;masakan 
mskpn;meskipun
msl;misal 
mslh;masalah
msng2;masing-masing
msti;harus 
mt;makan teman
mu'uv;maaf
muahal;mahal
mubes;musyawarah besar
muke;muka 
muker;musyawarah kerja
mulu;melulu
mumet;pusing
mumpung;selagi
muna;munafik
munas;musyawarah nasional
munaslub;musyawarah nasional luar biasa
munfik;munafik
muntaber;muntah dan berak
musda;musyawarah daerah
musti;mesti
muup;maaf
muupz;maaf
muuv;maaf
mw;now watching
mz;mas
n;dan
nabung;tabung 
naek;naik 
nahan;tahan 
nak;anak
nal;kenal
nambah;tambah 
nanam;menanam
nangis;menangis
nanya;bertanya
naon;apa
napa;kenapa
napas;nafas 
nape;kenapa 
napi;narapidana
napol;narapidana politik
napza;"narkotika; alkohol; psikotropika; dan zat adiktif "
naq;anak
narkoba;"narkotika; psikotropika; dan obat terlarang"
narsis;bangga pada diri sendiri
nasgor;nasi goreng
nax;anak
nda;tidak
ndak;tidak
ndax;tidak
ndiri;sendiri
ndk;tidak 
ndut;gendut
ne;ini
negri;negeri 
nekolim;neokolonialisme
nekolin;neokolonialisme
nelen;telan 
nelfon;menelepon
nembak;menyatakan cinta
nemenin;menemani 
nemu;temu 
nengok;tengok 
next;lanjut
ngabis2in;menghabiskan
ngabuburit;menunggu berbuka puasa
ngabungin;menggabungkan
ngadain;mengadakan 
ngajak;mengajak 
ngajar;ajar 
ngak;tidak 
ngakak;tertawa
ngaku;mengaku
ngambek;marah
ngambil;mengambil
ngampus;pergi ke kampus
nganggur;tidak punya pekerjaan
nganter;antar 
nganterin;antar 
ngantri;mengantri
ngapah;kenapa
ngapain;sedang apa
ngarep;mengharap 
ngarepinnya;mengharapkannya 
ngaret;terlambat
ngaruh;berpengaruh
ngasi;kasih 
ngasih;memberikan
ngawur;berbicara sembarangan
ngebandel;berbuat bandel
ngebully;intimidasi
ngeceng;kumpul bareng-berang
ngegosip;bergosip
ngeh;sadar
ngehadepin;menghadapi 
ngehe;kesal
ngeklaim;mengklaim
ngekos;tinggal di kos
ngeksis;menjadi eksis
ngelamar;melamar
ngeles;berkilah
ngeliat;melihat
ngeliatin;melihat 
ngelidur;menggigau
ngeluh;keluh 
ngemeng;bicara terus-terusan
ngentotin;senggama
ngerampok;merampok
ngerasa;merasa 
ngerasain;merasakan 
ngerjain;mengerjakan 
ngerokok;merokok 
ngerti;mengerti
ngetik;ketik 
ngga;tidak
nggak;tidak
nggax;tidak
nggesek;menggesek
nggk;tidak 
nggosok;menggosok
ngibul;berbohong
ngidam;idam 
ngikut;ikut
ngikutin;ikuti 
ngilangin;menghilangkan 
ngiler;mau
nginep;menginap
ngingetin;mengingatkan 
ngiri;iri
ngisi;mengisi
ngisiin;mengisikan
ngjk;mengajak 
ngk;tidak 
ngmbl;mengambil 
ngmg;bicara
ngmng;bicara
ngmpl;berkumpul 
ngmps;ke kampus
ngntk;mengantuk 
ngntr;ke kantor
ngobatin;obati 
ngobrol;bicara 
ngocol;lucu
ngomong;bicara
ngomongin;membicarakan
ngrasain;merasakan 
ngubek2;mencari-cari
ngumpet;sembunyi
ngumpul;berkumpul
ngundurin;mengundurkan 
ngunyah;kunyah 
ngurus;mengurus
ni;ini
nich;ini
nie;ini
nih;ini
ninggalin;tinggalkan 
nipu;tipu
niyh;nih
nmbh;tambah 
nmenarik;menarik
nmny;namanya 
nmpk;nampak 
nmr;nomor
nnti;nanti 
nntn;nonton
nnton;nonton 
nobar;nonton bareng
nolak;tolak 
np;now playing
nraktir;traktir 
ntah;entah 
ntap;mantap
ntar;nanti
nti;nanti 
ntn;nonton
nton;nonton 
ntr;nanti 
ntu;itu 
numpuk;bertumpuk
nungguin;tunggu 
nutupin;menutupi
nyakiti;menyakiti 
nyakitin;menyakiti 
nyalain;nyalakan 
nyampe;sampai 
nyangka;sangka 
nyantai;santai 
nyari;mencari
nyariin;mencari
nyasar;tersesat
nyebelin;menyebalkan 
nyekar;menyekar
nyela;cela
nyembah;sembah
nyerang;serang
nyeremin;menyeramkan 
nyesek;sesak 
nyesel;menyesal 
nyetel;setel 
nyiapin;mempersiapkan
nyicil;mencicil
nyiksa;menyiksa 
nyiram;menyiram
nyoba;coba 
nyobain;coba 
nyoblos;mencoblos
nyok;ayo
nyokap;ibu
nyuci;cuci 
nyukur;cukur 
nyuruh;suruh 
nyusul;susul 
o/;oleh
oc;oke
oce;oke
ogah;tidak mau
ohh;oh
ok;ok
okedech;oke
okedeh;oke
okeh;baik 
okz;oke
ol;online
ongkir;ongkos kirim
oot;out of topic
org;orang 
org2;orang-orang
orng;orang 
ortu;orang tua
otda;otonomi daerah
otw;"on the way; sedang di jalan"
ouch;oh
ouh;oh
owh;oh
pacal;pacar
pait;pahit 
pake;pakai
pakek;pakai 
pala;kepala
pansus;panitia khusus
pantesan;pantas 
paranoid;takut
parpol;partai politik
parte;partai
pasutri;pasangan suami istri
paz;pas
pcr;pacar 
pcrn;pacaran 
pcrny;pacarnya 
pd;pada
pdahal;padahal 
pdhal;padahal 
pdhl;padahal 
pede;percaya diri
pedes;pedas 
pegi;pergi 
pelatnas;pemusatan latihan nasional
pemda;pemerintah daerah
pemkot;pemerintah kota
pemred;pemimpin redaksi
penertiban;tertib
pengen;ingin
penghianat;pengkhianat 
pengin;ingin 
penjas;pendidikan jasmani
perda;peraturan daerah
perhatiin;perhatikan
pesen;pesan 
pesenan;pesanan
pg;pergi 
pgang;pegang
pgen;ingin 
pgn;ingin 
pi;tapi
pilem;film 
pilkada;pemilihan kepala daerah
pingin;ingin 
pinjem;pinjam 
pinter;pintar 
pisan;sangat
pk;penjahat kelamin
pkai;pakai 
pke;pakai 
plg;paling
plis;tolong 
pljrn;pelajaran 
plng;pulang 
pmpuan;perempuan 
pmrnth;pemerintah
pndh;pindah 
